0	0	2691
1	2691	2759
2	5450	1931
3	7381	2450
4	9831	7176
5	17007	1568
6	18575	1159
7	19734	1159
8	20893	1151
9	22044	803
10	22847	1135
11	23982	8095
12	32077	5561
13	37638	1335
14	38973	2019
15	40992	4770
16	45762	6800
17	52562	8201
18	60763	3931
19	64694	5505
20	70199	1259
21	71458	8871
22	80329	6031
23	86360	2075
24	88435	4470
25	92905	1957
26	94862	9319
27	104181	2415
28	106596	1283
29	107879	2936
30	110815	2170
31	112985	3027
32	116012	953
33	116965	3783
34	120748	2609
35	123357	1527
36	124884	3422
37	128306	1669
38	129975	6387
39	136362	2481
40	138843	2168
41	141011	5087
42	146098	8583
43	154681	5205
44	159886	1103
45	160989	1315
46	162304	1478
47	163782	2481
48	166263	2377
49	168640	1835
50	170475	3518
51	173993	2435
52	176428	3942
53	180370	3770
54	184140	452
55	184592	13402
56	197994	9619
57	207613	2477
58	210090	2099
59	212189	2447
60	214636	2671
61	217307	6398
62	223705	8013
63	231718	5245
64	236963	5963
65	242926	4575
66	247501	2511
67	250012	2499
68	252511	7430
69	259941	8527
70	268468	5421
71	273889	659
72	274548	2810
73	277358	3261
74	280619	1150
75	281769	1793
76	283562	1936
77	285498	652
78	286150	493
79	286643	616
80	287259	2588
81	289847	2530
82	292377	1933
83	294310	5785
84	300095	2048
85	302143	3836
86	305979	8149
87	314128	4203
88	318331	2399
89	320730	1589
90	322319	3024
91	325343	1791
92	327134	8322
93	335456	1711
94	337167	1965
95	339132	1571
96	340703	2570
97	343273	2017
98	345290	3762
99	349052	953
100	350005	1218
101	351223	1937
102	353160	1449
103	354609	3822
104	358431	5729
105	364160	2251
106	366411	2913
107	369324	1515
108	370839	5761
109	376600	2669
110	379269	1298
111	380567	1276
112	381843	1345
113	383188	7966
114	391154	1723
115	392877	2841
116	395718	1253
117	396971	1441
118	398412	5135
119	403547	3052
120	406599	1307
121	407906	2799
122	410705	1454
123	412159	940
124	413099	2786
125	415885	1505
126	417390	918
127	418308	3011
128	421319	1233
129	422552	8790
130	431342	2619
131	433961	1635
132	435596	2245
133	437841	2001
134	439842	6264
135	446106	2089
136	448195	1577
137	449772	3158
138	452930	4070
139	457000	2694
140	459694	2893
141	462587	1047
142	463634	1429
143	465063	5516
144	470579	3629
145	474208	2091
146	476299	5819
147	482118	6791
148	488909	1231
149	490140	1530
150	491670	367
151	492037	2209
152	494246	2956
153	497202	1230
154	498432	932
155	499364	1878
156	501242	2977
157	504219	6896
158	511115	2671
159	513786	1573
160	515359	1778
161	517137	1715
162	518852	970
163	519822	8969
164	528791	5620
165	534411	5678
166	540089	5495
167	545584	6752
168	552336	2083
169	554419	19466
170	573885	7690
171	581575	1829
172	583404	1247
173	584651	3045
174	587696	1867
175	589563	2702
176	592265	4184
177	596449	1422
178	597871	604
179	598475	6581
180	605056	2425
181	607481	1838
182	609319	3356
183	612675	1898
184	614573	13768
185	628341	551
186	628892	1649
187	630541	3040
188	633581	2377
189	635958	2841
190	638799	18383
191	657182	3151
192	660333	5184
193	665517	5575
194	671092	4709
195	675801	5546
196	681347	1888
197	683235	3892
198	687127	6090
199	693217	2473
200	695690	4445
201	700135	982
202	701117	799
203	701916	4183
204	706099	2680
205	708779	2969
206	711748	1263
207	713011	1956
208	714967	2329
209	717296	2747
210	720043	2315
211	722358	1302
212	723660	4710
213	728370	4591
214	732961	3588
215	736549	3141
216	739690	4115
217	743805	4514
218	748319	2784
219	751103	3832
220	754935	2319
221	757254	1750
222	759004	2308
223	761312	20509
224	781821	3321
225	785142	4093
226	789235	1928
227	791163	8743
228	799906	2687
229	802593	5326
230	807919	5358
231	813277	3698
232	816975	4179
233	821154	5941
234	827095	3038
235	830133	5471
236	835604	1747
237	837351	2630
238	839981	5041
239	845022	4798
240	849820	3321
241	853141	5429
242	858570	5500
243	864070	4287
244	868357	2547
245	870904	4421
246	875325	7409
247	882734	194
248	882928	4740
249	887668	911
250	888579	802
251	889381	2243
252	891624	1788
253	893412	946
254	894358	1848
255	896206	12146
256	908352	4444
257	912796	6897
258	919693	9990
259	929683	1125
260	930808	9954
261	940762	3389
262	944151	1411
263	945562	3525
264	949087	5375
265	954462	4675
266	959137	5550
267	964687	2588
268	967275	3949
269	971224	3537
270	974761	5178
271	979939	5265
272	985204	1323
273	986527	9382
274	995909	3297
275	999206	603
276	999809	1556
277	1001365	3328
278	1004693	1890
279	1006583	3285
280	1009868	5121
281	1014989	2140
282	1017129	5840
283	1022969	2310
284	1025279	4225
285	1029504	4926
286	1034430	1314
287	1035744	5536
288	1041280	1259
289	1042539	1975
290	1044514	2683
291	1047197	2439
292	1049636	1235
293	1050871	6839
294	1057710	3188
295	1060898	2615
296	1063513	5263
297	1068776	1936
298	1070712	2591
299	1073303	4796
300	1078099	4749
301	1082848	4508
302	1087356	3109
303	1090465	7716
304	1098181	5834
305	1104015	3550
306	1107565	3365
307	1110930	2387
308	1113317	3516
309	1116833	2196
310	1119029	2061
311	1121090	9210
312	1130300	5431
313	1135731	7547
314	1143278	5463
315	1148741	4881
316	1153622	8289
317	1161911	11974
318	1173885	6354
319	1180239	1455
320	1181694	1880
321	1183574	998
322	1184572	5322
323	1189894	2975
324	1192869	693
325	1193562	4213
326	1197775	838
327	1198613	3171
328	1201784	756
329	1202540	943
330	1203483	4251
331	1207734	3693
332	1211427	1298
333	1212725	1830
334	1214555	1171
335	1215726	1659
336	1217385	901
337	1218286	2521
338	1220807	4407
339	1225214	4705
340	1229919	1133
341	1231052	2265
342	1233317	979
343	1234296	1995
344	1236291	1216
345	1237507	1506
346	1239013	577
347	1239590	3988
348	1243578	1471
349	1245049	4834
350	1249883	2505
351	1252388	2089
352	1254477	2511
353	1256988	2262
354	1259250	3507
355	1262757	1695
356	1264452	1145
357	1265597	2629
358	1268226	2048
